StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,Q3.1_1,Q3.1_2,Q4.1_1,Q4.1_2,Q4.1_3,Q4.1_4,Q4.1_5,Q8.1_1,Q8.1_2,Q9.1_1,Q9.1_2,Q9.1_3,Q9.1_4,Q9.2,Q10.1,Q10.2,Q10.3,Q11.1_1,Q11.2,Q11.3,Q11.3_5_TEXT,Q11.4
2022-09-13 22:07:59,2022-09-13 22:08:20,Survey Preview,100,21,True,2022-09-13 22:08:21,R_2CCmhBqoRqEw682,preview,EN-GB,,,,,,,,,,,,,,,,,"Yes. (After completing the survey, you will be automatically redirected to another form and asked to enter your email address. There will be no link between your responses to this survey and your email address).",,,,,
2022-09-13 22:46:11,2022-09-13 22:55:52,Survey Preview,100,580,True,2022-09-13 22:55:53,R_3Pi8QET1YMITSZy,preview,EN-GB,Neither agree nor disagree,Somewhat agree,Sometimes,Never or almost never,Never or almost never,Most of the time,Most of the time,Much more,Much more,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,,,,,more concerned,,,,
2022-09-14 02:41:21,2022-09-14 02:44:29,IP Address,100,187,True,2022-09-14 02:44:29,R_1jP52Y5FyUlfr9o,anonymous,EN-GB,Somewhat agree,Somewhat agree,Always or almost always,Always or almost always,Always or almost always,Always or almost always,Most of the time,About the same,About the same,Strongly agree,Somewhat agree,Strongly agree,Somewhat disagree,More work. No time to change workflows,,,No,more concerned,,"Stata,SAS,R",,
2022-09-14 03:17:09,2022-09-14 03:24:43,IP Address,100,453,True,2022-09-14 03:24:43,R_2wyFAcjhs1Ks4Nr,anonymous,EN-GB,Neither agree nor disagree,Neither agree nor disagree,About half the time,Never or almost never,Always or almost always,Most of the time,Most of the time,Much more,Much more,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,,,,No,Very much more concerned,1,Stata,,
2022-09-14 02:43:26,2022-09-14 03:31:34,IP Address,100,2887,True,2022-09-14 03:31:34,R_2dXBCwZucqxKPMg,anonymous,EN-GB,,,,,,,,,,,,,,,,,,,,,,
2022-09-24 05:41:46,2022-09-24 05:46:24,Survey Preview,100,278,True,2022-09-24 05:46:25,R_SVPnh9IQEU8ZLSp,preview,EN-GB,,,,,,,,,,,,,,,,,"Yes. (After completing the survey, you will be automatically redirected to another form and asked to enter your email address. There will be no link between your responses to this survey and your email address).",,,,,
2022-09-30 02:48:25,2022-09-30 02:54:13,IP Address,100,348,True,2022-09-30 02:54:14,R_25YKFY3fyfkiIop,anonymous,EN-GB,Neither agree nor disagree,Somewhat disagree,About half the time,Sometimes,Sometimes,Most of the time,Most of the time,Somewhat more,Much more,Neither agree nor disagree,Somewhat agree,Strongly agree,Strongly agree,I disagree because balhblahblah,,,No,more concerned,,,,
2022-09-21 17:50:46,2022-09-21 17:50:58,IP Address,6,12,False,2022-10-05 17:51:00,R_2CZiIj1cdywfgAH,anonymous,EN-GB,,,,,,,,,,,,,,,,,,,,,,
2022-09-24 05:49:47,2022-09-24 06:18:59,IP Address,76,1752,False,2022-10-08 06:19:00,R_tYXSOf25Q5HMZPz,anonymous,EN-GB,,,,,,,,,,,,,,,,,,,,,,
2022-10-10 12:17:13,2022-10-10 12:20:04,IP Address,100,170,True,2022-10-10 12:20:04,R_BGk3PU03K0bBdMB,anonymous,EN-GB,Neither agree nor disagree,Somewhat disagree,Most of the time,Never or almost never,About half the time,Most of the time,Sometimes,About the same,About the same,Somewhat disagree,Somewhat disagree,Strongly disagree,Neither agree nor disagree,,,,No,more concerned,5,R,,
2022-10-10 12:20:28,2022-10-10 12:25:14,IP Address,100,286,True,2022-10-10 12:25:14,R_3fisqbWEBZPracm,anonymous,EN-GB,Somewhat agree,Somewhat agree,Most of the time,About half the time,Most of the time,Always or almost always,About half the time,Much more,Much more,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,,,,No,more concerned,12,"Stata,R",,
2022-10-10 12:23:44,2022-10-10 12:26:31,IP Address,100,166,True,2022-10-10 12:26:31,R_2EtryvOsbZ0rxxH,anonymous,EN-GB,Somewhat agree,Somewhat agree,Most of the time,Sometimes,Sometimes,Most of the time,Most of the time,Much more,Much more,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,,,,No,as concerned as a typical researcher in my field,8,R,,
2022-10-10 12:19:31,2022-10-10 12:27:44,IP Address,100,493,True,2022-10-10 12:27:45,R_Ap5HSxdDcFOYoPD,anonymous,EN-GB,Neither agree nor disagree,Strongly agree,Sometimes,Never or almost never,Sometimes,Sometimes,Sometimes,Somewhat more,Much more,Strongly disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,,"This seems like an excellent proposition, although the exploratory phase could be difficult if the research question examines a sub-sample that is small. I think there would need to be flexibility in the extent to which an approach like this would be mandatory, to account for different sorts of research questions.",,No,as concerned as a typical researcher in my field,1,"R,Other (please describe)","SPSS, MATLAB",
2022-10-10 12:31:12,2022-10-10 12:33:09,IP Address,100,116,True,2022-10-10 12:33:09,R_2Bmn9ite97fNcV6,anonymous,EN-GB,Somewhat agree,Somewhat agree,Always or almost always,Sometimes,About half the time,About half the time,Most of the time,Much more,Much more,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,,,,,as concerned as a typical researcher in my field,0,R,,
2022-10-10 12:37:06,2022-10-10 12:39:46,IP Address,100,160,True,2022-10-10 12:39:46,R_1lzxHTRp9DeYxh0,anonymous,EN-GB,Somewhat disagree,Somewhat disagree,Never or almost never,Never or almost never,About half the time,About half the time,Always or almost always,Somewhat more,Much more,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,,,,No,more concerned,50,"Stata,R",,
2022-10-10 12:23:12,2022-10-10 12:46:16,IP Address,100,1383,True,2022-10-10 12:46:16,R_2BbULZm8ogXeJlS,anonymous,EN-GB,Somewhat agree,Somewhat agree,About half the time,Never or almost never,Always or almost always,About half the time,About half the time,Somewhat more,Somewhat more,Strongly disagree,Somewhat agree,Somewhat agree,Somewhat disagree,"Q1: If ALSPAC required that I use an ECAW, this would not put me off using ALSPAC hence (hence 'strongly disagree')

Q4: If I have understood correctly, one issue I see with ECAW is that researchers can dredge the preliminary data for promising results before preregistering and getting the final full dataset, so doesn't necessarily stop some of the questionable research practices (p-hacking, HARKing, etc.) that pre-registration aims to overcome. Hence why, given the choice, I would prefer standard preregistration.","My main reservation, mentioned previously, is that an ECAW doesn't necessarily protect against p-hacking, fishing and HARKing. Perhaps an initial pre-registration prior to receiving the preliminary data, which can then be updated after the exploratory phase, might help get around this - But then that means more work as essentially it's both a full preregistrations and an ECAW!

I can definitely see the benefit of an ECAW in terms of using the preliminary data to produce and finalise analysis scripts, however.","Most organisations like ALSPAC - with good reason - do not allow researchers to made data publicly-available. This hinders both open-ness and reproducibility. A system to make de-anonymised cohort data openly available would be really useful, I feel (e.g., making synthetic datasets which are anonymised but still maintain the structure and relations of the original data - such as via 'synthpop' package in R).","Yes. (After completing the survey, you will be automatically redirected to another form and asked to enter your email address. There will be no link between your responses to this survey and your email address).",somewhat more concerned,20,"Stata,R",,
2022-10-10 12:40:37,2022-10-10 12:52:15,IP Address,100,698,True,2022-10-10 12:52:15,R_2v8mlnwwirg6hVB,anonymous,EN-GB,Somewhat agree,Somewhat agree,Never or almost never,Never or almost never,Never or almost never,Most of the time,Most of the time,Somewhat more,About the same,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,,,,No,somewhat more concerned,35,Stata,,
2022-10-10 12:50:42,2022-10-10 12:53:31,IP Address,100,169,True,2022-10-10 12:53:31,R_vojO4HJ0tZpt3Oh,anonymous,EN-GB,Somewhat agree,Somewhat agree,Always or almost always,Never or almost never,About half the time,Most of the time,Most of the time,Much more,Much more,Unsure,Strongly agree,Somewhat agree,Unsure,,,,No,somewhat more concerned,0,"Stata,R",,
2022-10-10 12:40:26,2022-10-10 12:56:06,IP Address,100,939,True,2022-10-10 12:56:06,R_3O0JRNuGJsi3nr5,anonymous,EN-GB,Somewhat agree,Somewhat agree,Sometimes,Never or almost never,About half the time,About half the time,About half the time,Somewhat more,Much more,Strongly disagree,Somewhat agree,Strongly agree,Strongly agree,,"I think this is a good idea and would be happy to use this (without any incentives). There may be times when changes would need to be made to the preregistered script (due to certain analytical problems that weren’t foreseen/ discovered with the random sample) but as long as changes could be made and documented, this would be fine. Also, the random sample would need to be large enough to be able to develop a script for complex analyses. One final consideration is how this would work for time limited projects such as using ALSPAC data for MSc projects. Some thought would be needed for whether the MSc student would be responsible for pre registering the script using the random sample, or if there would be exceptions to workflow for these kind of scenarios. ","Making code freely available (in supplement of paper or an online platform such as GitHub) could be a optional (or required) tick box on the ALSPAC publication checklist. ","Yes. (After completing the survey, you will be automatically redirected to another form and asked to enter your email address. There will be no link between your responses to this survey and your email address).",as concerned as a typical researcher in my field,40,"Stata,R,Other (please describe)",Mplus,
2022-10-10 12:46:39,2022-10-10 13:00:06,IP Address,100,807,True,2022-10-10 13:00:06,R_3dKZ6OERuQ0Z6sq,anonymous,EN-GB,Somewhat disagree,Strongly agree,Never or almost never,I don't understand the question,Sometimes,I don't understand the question,Sometimes,Somewhat more,Much more,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,,,,No,as concerned as a typical researcher in my field,30,Stata,,
2022-10-10 12:55:19,2022-10-10 13:05:56,IP Address,100,637,True,2022-10-10 13:05:56,R_T5G63Qtq9y8RstP,anonymous,EN-GB,Somewhat agree,Neither agree nor disagree,Sometimes,Never or almost never,Sometimes,Sometimes,Most of the time,Somewhat more,Somewhat more,Strongly disagree,Strongly agree,Strongly agree,Neither agree nor disagree,,,,"Yes. (After completing the survey, you will be automatically redirected to another form and asked to enter your email address. There will be no link between your responses to this survey and your email address).",more concerned,40,Stata,,
2022-10-10 12:58:57,2022-10-10 13:06:08,IP Address,100,430,True,2022-10-10 13:06:08,R_272l4A0H9tuJYBB,anonymous,EN-GB,Somewhat agree,Somewhat disagree,Sometimes,Never or almost never,Most of the time,Most of the time,Most of the time,Somewhat more,Somewhat more,Somewhat agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,,"might you see similar results in your sample of 500 v. the sample of 5000 in which case, this doesn't help to reduce possible p-hacking ","More training for internal ALSPAC users on how to use the data, rather than just having to learn from asking around","Yes. (After completing the survey, you will be automatically redirected to another form and asked to enter your email address. There will be no link between your responses to this survey and your email address).",as concerned as a typical researcher in my field,20,R,,
2022-10-10 12:58:57,2022-10-10 13:08:35,IP Address,100,578,True,2022-10-10 13:08:36,R_1mhqtXHXMRKu7Gn,anonymous,EN-GB,Neither agree nor disagree,Strongly agree,Sometimes,Never or almost never,Never or almost never,I don't understand the question,I don't understand the question,Somewhat more,About the same,Strongly disagree,Strongly disagree,Unsure,Unsure,"I don't really have strong feelings on the matter, but if this is what ALSPAC decides I wouldn't argue","I'd want the admin process of obtaining the small sample data to not delay things (e.g. the small sample and the full sample could be generated by the data team at the same time).

My concern is that some techniques I use, like imputation models, may work in the small data set then the code fail to work in the complete data set (if e.g. variables were revealed to be colinear in the full sample analyses), so I think it would be naive to assume the small sample analysis would  seamlessly apply to the full sample analysis. 

On reflection, it would be frustrating if something that I'd spent time refining in the small sample didn't run in the large sample, and I had to re-do all the work. I think this would happen in the majority of analyses I run, and would delay my work.",,No,somewhat more concerned,5,Stata,,Didn't know anything about the ECAW concept going in so I haven't had much time to think it through
2022-10-10 13:06:47,2022-10-10 13:13:49,IP Address,100,421,True,2022-10-10 13:13:50,R_2uIgEnKuOIWuww5,anonymous,EN-GB,Somewhat agree,Somewhat disagree,Never or almost never,Never or almost never,Never or almost never,Never or almost never,Sometimes,Somewhat more,Much more,Neither agree nor disagree,Somewhat disagree,Strongly agree,Somewhat agree,,,,No,as concerned as a typical researcher in my field,2,Other (please describe),spss,
2022-10-10 13:29:58,2022-10-10 13:35:56,IP Address,100,358,True,2022-10-10 13:35:57,R_1rxk5AT7EoZJo9J,anonymous,EN-GB,Strongly agree,Strongly agree,Most of the time,Never or almost never,About half the time,Sometimes,Always or almost always,About the same,About the same,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,,,,No,somewhat more concerned,6,Stata,,
2022-10-10 13:29:28,2022-10-10 13:48:28,IP Address,100,1139,True,2022-10-10 13:48:28,R_28zBxG1HdNpUyFf,anonymous,EN-GB,Somewhat agree,Somewhat agree,Sometimes,Never or almost never,Sometimes,Sometimes,Most of the time,Somewhat more,Somewhat more,Somewhat disagree,Somewhat agree,Strongly agree,Somewhat agree,,,,No,more concerned,,Stata,,
2022-10-10 13:51:04,2022-10-10 13:53:44,IP Address,100,160,True,2022-10-10 13:53:45,R_3qr9uw1HGF53UiJ,anonymous,EN-GB,Somewhat agree,Strongly agree,Most of the time,Most of the time,Most of the time,Sometimes,Sometimes,,,,,,,,,,,,,,,
2022-10-10 13:47:29,2022-10-10 13:55:30,IP Address,100,481,True,2022-10-10 13:55:30,R_1hxU6b4SXW8OmY0,anonymous,EN-GB,Neither agree nor disagree,Somewhat agree,Never or almost never,Never or almost never,Always or almost always,Sometimes,Sometimes,Somewhat more,About the same,Somewhat disagree,Somewhat agree,Strongly agree,Neither agree nor disagree,,"incentives: maybe a data-access cost reduction
benefits: it's difficult to anticipate data problems using the traditional prereg approach. With ECAW, it's easier to see what the challenges might be (e.g. likely amount of missing data, data distribution issues, concrete variable coding)
drawbacks: sounds cumbersome (even if it's not)
reservations: you can probably still cheat the system",,No,as concerned as a typical researcher in my field,70,R,,
2022-10-10 13:56:25,2022-10-10 14:02:03,IP Address,100,338,True,2022-10-10 14:02:03,R_b1TbzIvhmzZ4HqV,anonymous,EN-GB,Somewhat agree,Somewhat agree,Sometimes,Never or almost never,Sometimes,Sometimes,Most of the time,About the same,Somewhat more,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,,"My main concern is that the code may need to be readjusted to make it work for the full dataset, so I'm not entirely sure this process is better.",,No,as concerned as a typical researcher in my field,3,Stata,,
2022-10-10 14:12:37,2022-10-10 14:16:02,IP Address,100,204,True,2022-10-10 14:16:02,R_qRyUvPBcd7PgQzD,anonymous,EN-GB,Strongly agree,Strongly agree,Sometimes,Never or almost never,Never or almost never,Most of the time,About half the time,Somewhat more,About the same,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,,,,"Yes. (After completing the survey, you will be automatically redirected to another form and asked to enter your email address. There will be no link between your responses to this survey and your email address).",Very much more concerned,0,R,,
2022-10-10 14:33:04,2022-10-10 14:38:57,IP Address,100,352,True,2022-10-10 14:38:57,R_27H8G7BOCuvd1ek,anonymous,EN-GB,Somewhat agree,Strongly agree,Always or almost always,Never or almost never,About half the time,About half the time,About half the time,About the same,About the same,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Somewhat agree,"This sounds like a positive and pragmatic way to reduce data dreding in some experiments, especially those where the hypothesis is broad or the analysis plan is not well described. In some cases the hypothesis and test are already very clear (for example, if looking to contribe to a genetic association study consortium), so I'm not sure this would be needed in all cases.",,,No,more concerned,30,R,,
2022-10-10 14:27:03,2022-10-10 14:46:05,IP Address,100,1141,True,2022-10-10 14:46:05,R_3Lbgs8pGo6pmPnc,anonymous,EN-GB,Somewhat agree,Strongly agree,Sometimes,Sometimes,Never or almost never,About half the time,Most of the time,About the same,About the same,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,"Either ways use of governed pre-existing data is not a fishing expedition. I really don't see much difference. However, I do support a catalogue of projects, where a new (or old) investigator sees what is already underway and can either readjust aims or ask for possibility to join in.
A real advancement in observational reports would be to start asking validation in another dataset, the same way that is carried out (required) in genomic studies.","It would be great if a project statistician would run the final scripts. It would make a searchable, indexed library doable. It could be used by other investigators and anyone interested in research integrity or openness.","Combinations of similar datasets would be wonderful. Then a validation/replication type analyses would be possible straight away. No that much need to wait for someone else to replicate findings in their, possibly quite different, dataset.",No,somewhat more concerned,20,"R,Other (please describe)",SPSS,
2022-10-10 13:30:10,2022-10-10 15:15:07,IP Address,100,6296,True,2022-10-10 15:15:07,R_3PNNx041vuLqG2x,anonymous,EN-GB,Somewhat agree,Somewhat agree,About half the time,Never or almost never,Most of the time,Most of the time,Most of the time,Much more,Much more,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,,"I can imagine this workflow could be difficult for analyses with smaller sample sizes, and/or lots of covariates or a complex model. This is because you might need much of your sample size to do the exploring. 
I also think there is a risk of people using the initial 500 (or whatever N) to actually decide on variables to include on the basis of significance - and this would be really problematic and should not be done - am not sure how you would stop people doing this.
I think there would still need to be a pre-registered analysis plan, before seeing the subset of the data. Then the subset is used to actually write and test the code, rather than to decide on analysis steps.",,No,somewhat more concerned,50,"Stata,R",,
2022-10-10 14:59:02,2022-10-10 15:15:53,IP Address,100,1011,True,2022-10-10 15:15:54,R_bs8Y1H1THBh5Gud,anonymous,EN-GB,Neither agree nor disagree,Somewhat agree,Never or almost never,Never or almost never,Never or almost never,Most of the time,Most of the time,Somewhat more,Much more,Neither agree nor disagree,Somewhat agree,Somewhat agree,Strongly agree,,,,"Yes. (After completing the survey, you will be automatically redirected to another form and asked to enter your email address. There will be no link between your responses to this survey and your email address).",more concerned,30,Stata,,
2022-10-10 15:18:46,2022-10-10 15:21:09,IP Address,100,143,True,2022-10-10 15:21:09,R_3sc9fxB15Uj4D4K,anonymous,EN-GB,Somewhat agree,Somewhat agree,Always or almost always,Most of the time,Always or almost always,Always or almost always,Always or almost always,Somewhat more,Somewhat more,Strongly disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,,,,,more concerned,1,R,,
2022-10-10 15:14:13,2022-10-10 15:23:49,IP Address,100,575,True,2022-10-10 15:23:49,R_p5hg6e066EjByyR,anonymous,EN-GB,Somewhat agree,Somewhat disagree,Sometimes,Never or almost never,Most of the time,About half the time,Most of the time,Somewhat more,Somewhat more,Strongly disagree,Unsure,Unsure,Somewhat agree,I'm not sure I understand what ALSPAC running a study on ECAWs would look like.,"An obvious benefit of ECAW to me is that it's hard to know what errors are in the data or what cleaning might be required in a dataset like ALSPAC until you've seen a subset of it - this means you could pre-register absolute nonsense and then have to run those analyses or you could fail to pre-register some exclusion criteria you really need in order to make sure you only have (for example) careful responders, and then be stuck using all the entries even though you know some are rubbish.","From an open science perspective, a big 'reproducibility' issue is that datasets like ALSPAC are closed access - so other researchers can't reproduce your findings/check that they work/reinterpret them, without also paying the fees.",No,as concerned as a typical researcher in my field,0,R,,
2022-10-10 15:48:36,2022-10-10 16:05:45,IP Address,100,1028,True,2022-10-10 16:05:46,R_RLbR49v8MdNyvaV,anonymous,EN-GB,Somewhat agree,Somewhat agree,Always or almost always,Always or almost always,About half the time,About half the time,Sometimes,I don't understand the question,Somewhat less,Somewhat agree,Somewhat disagree,Unsure,Somewhat disagree,,,,No,more concerned,25,"Stata,SAS,Other (please describe)",spss,
2022-10-10 17:06:35,2022-10-10 17:11:49,IP Address,100,314,True,2022-10-10 17:11:49,R_xlJGS9VrdVbHiKt,anonymous,EN-GB,Strongly agree,Strongly agree,Sometimes,Never or almost never,I don't understand the question,About half the time,About half the time,I don't understand the question,I don't understand the question,Somewhat agree,I don't understand the question,I don't understand the question,I don't understand the question,"The questions all seem to be about datasets. I don't use or analyse datasets, I'm only interested in the samples, which I will then analyse using my own assays. So I'm not sure these questions are relevant to what I do?",NA,NA,"Yes. (After completing the survey, you will be automatically redirected to another form and asked to enter your email address. There will be no link between your responses to this survey and your email address).",,1,Other (please describe),"I don't use analysis software, I use ALSPAC to answer samples that I then analyse myself.",
2022-10-10 17:56:33,2022-10-10 18:05:21,IP Address,100,527,True,2022-10-10 18:05:21,R_UmxjycwKRGJ6jzr,anonymous,EN-GB,Somewhat disagree,Strongly agree,Always or almost always,Never or almost never,Sometimes,I don't understand the question,Most of the time,Somewhat more,Somewhat less,Neither agree nor disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,,"Even with an ECAw there is a risk of confounding which may just be by an unmeasured variable or incompletely adjusted.  So one might get a consistent result that is nonetheless still untrue  ",,"Yes. (After completing the survey, you will be automatically redirected to another form and asked to enter your email address. There will be no link between your responses to this survey and your email address).",more concerned,10,Other (please describe),SPSS,
2022-10-10 19:39:26,2022-10-10 19:54:05,IP Address,100,879,True,2022-10-10 19:54:06,R_114ogVSqtOlQU82,anonymous,EN-GB,Somewhat agree,Somewhat agree,Never or almost never,Never or almost never,Always or almost always,Always or almost always,Always or almost always,Somewhat more,Somewhat more,Somewhat agree,Strongly disagree,Neither agree nor disagree,Strongly disagree,"We typically run GWAS analyses where we effectively compare >1 million categories (=number of independent common genetic variants) in a single analysis. I feel that in this type on analysis, researcher bias is less likely to play a big role, because the genetic variants are largely uncorrelated with each other and biasing your analysis to overfit for one variant will reduce the power for all other variants. Furthermore, the technical biases influencing GWAS results (population stratification, outlier phenotypes, etc) can only be detected with large sample sizes. I feel that in setting ECAW would add a lot of extra work without clear benefit. I do like the idea that it makes it compulsory to share analysis code.",See response to previous question.,,"Yes. (After completing the survey, you will be automatically redirected to another form and asked to enter your email address. There will be no link between your responses to this survey and your email address).",somewhat more concerned,5,"R,Python,Other (please describe)",Nextflow,
